"chr_name","chr_number","site","FST","chr_length","chr_midpoint","chr_cumulative_length","chr_cumulative_midpoint","site_cumulative"
"chrI",1,2501,0.029766,29619991,14809995.5,29619991,14809996,2501
"chrI",1,32501,0.0330906,29619991,14809995.5,29619991,14809996,32501
"chrI",1,62501,0.0548291,29619991,14809995.5,29619991,14809996,62501
"chrI",1,92501,0.0433191,29619991,14809995.5,29619991,14809996,92501
"chrI",1,122501,0.0694581,29619991,14809995.5,29619991,14809996,122501
"chrI",1,152501,0.0646258,29619991,14809995.5,29619991,14809996,152501
"chrI",1,182501,0.0311248,29619991,14809995.5,29619991,14809996,182501
"chrI",1,212501,0.141266,29619991,14809995.5,29619991,14809996,212501
"chrI",1,247501,0.0870861,29619991,14809995.5,29619991,14809996,247501
"chrI",1,277501,0.135527,29619991,14809995.5,29619991,14809996,277501
"chrI",1,307501,0.0536354,29619991,14809995.5,29619991,14809996,307501
"chrI",1,337501,0.0366785,29619991,14809995.5,29619991,14809996,337501
"chrI",1,367501,0.0946423,29619991,14809995.5,29619991,14809996,367501
"chrI",1,397501,0.0183706,29619991,14809995.5,29619991,14809996,397501
"chrI",1,427501,0.0191249,29619991,14809995.5,29619991,14809996,427501
"chrI",1,462501,0.0305989,29619991,14809995.5,29619991,14809996,462501
"chrI",1,492501,0.03038,29619991,14809995.5,29619991,14809996,492501
"chrI",1,522501,0.0177202,29619991,14809995.5,29619991,14809996,522501
"chrI",1,592501,0.0741073,29619991,14809995.5,29619991,14809996,592501
"chrI",1,627501,0.0833962,29619991,14809995.5,29619991,14809996,627501
"chrI",1,657501,0.0718932,29619991,14809995.5,29619991,14809996,657501
"chrI",1,687501,0.0500669,29619991,14809995.5,29619991,14809996,687501
"chrI",1,717501,0.0434491,29619991,14809995.5,29619991,14809996,717501
"chrI",1,762501,0.00644043,29619991,14809995.5,29619991,14809996,762501
"chrI",1,807501,0.0148668,29619991,14809995.5,29619991,14809996,807501
"chrI",1,842501,0.00520497,29619991,14809995.5,29619991,14809996,842501
"chrI",1,872501,0.00964177,29619991,14809995.5,29619991,14809996,872501
"chrI",1,902501,0.0102497,29619991,14809995.5,29619991,14809996,902501
"chrI",1,937501,0.0355423,29619991,14809995.5,29619991,14809996,937501
"chrI",1,977501,0.0435815,29619991,14809995.5,29619991,14809996,977501
"chrI",1,1012501,0.00889394,29619991,14809995.5,29619991,14809996,1012501
"chrI",1,1042501,0.0294309,29619991,14809995.5,29619991,14809996,1042501
"chrI",1,1072501,0.0237766,29619991,14809995.5,29619991,14809996,1072501
"chrI",1,1102501,0.022162,29619991,14809995.5,29619991,14809996,1102501
"chrI",1,1132501,0.0824748,29619991,14809995.5,29619991,14809996,1132501
"chrI",1,1162501,0.043778,29619991,14809995.5,29619991,14809996,1162501
"chrI",1,1197501,0.0369215,29619991,14809995.5,29619991,14809996,1197501
"chrI",1,1232501,0.0295587,29619991,14809995.5,29619991,14809996,1232501
"chrI",1,1267501,0.0390821,29619991,14809995.5,29619991,14809996,1267501
"chrI",1,1307501,0.0633895,29619991,14809995.5,29619991,14809996,1307501
"chrI",1,1337501,0.0465333,29619991,14809995.5,29619991,14809996,1337501
"chrI",1,1367501,0.0634724,29619991,14809995.5,29619991,14809996,1367501
"chrI",1,1397501,0.0319136,29619991,14809995.5,29619991,14809996,1397501
"chrI",1,1432501,0.00715393,29619991,14809995.5,29619991,14809996,1432501
"chrI",1,1462501,0.0657904,29619991,14809995.5,29619991,14809996,1462501
"chrI",1,1497501,0.0470947,29619991,14809995.5,29619991,14809996,1497501
"chrI",1,1527501,0.0100068,29619991,14809995.5,29619991,14809996,1527501
"chrI",1,1557501,0.0265292,29619991,14809995.5,29619991,14809996,1557501
"chrI",1,1587501,0.0136405,29619991,14809995.5,29619991,14809996,1587501
"chrI",1,1617501,0.0154129,29619991,14809995.5,29619991,14809996,1617501
"chrI",1,1647501,0.0125822,29619991,14809995.5,29619991,14809996,1647501
"chrI",1,1677501,0.0338361,29619991,14809995.5,29619991,14809996,1677501
"chrI",1,1707501,0.0626997,29619991,14809995.5,29619991,14809996,1707501
"chrI",1,1737501,0.0224416,29619991,14809995.5,29619991,14809996,1737501
"chrI",1,1772501,0.0161189,29619991,14809995.5,29619991,14809996,1772501
"chrI",1,1802501,0.0146073,29619991,14809995.5,29619991,14809996,1802501
"chrI",1,1832501,0.0201267,29619991,14809995.5,29619991,14809996,1832501
"chrI",1,1862501,0.0190444,29619991,14809995.5,29619991,14809996,1862501
"chrI",1,1892501,0.0291654,29619991,14809995.5,29619991,14809996,1892501
"chrI",1,1922501,0.0291932,29619991,14809995.5,29619991,14809996,1922501
"chrI",1,1952501,0.0679766,29619991,14809995.5,29619991,14809996,1952501
"chrI",1,1982501,0.0153366,29619991,14809995.5,29619991,14809996,1982501
"chrI",1,2012501,0.0241033,29619991,14809995.5,29619991,14809996,2012501
"chrI",1,2047501,0.0592656,29619991,14809995.5,29619991,14809996,2047501
"chrI",1,2077501,0.0837445,29619991,14809995.5,29619991,14809996,2077501
"chrI",1,2107501,0.0466352,29619991,14809995.5,29619991,14809996,2107501
"chrI",1,2137501,0.0236365,29619991,14809995.5,29619991,14809996,2137501
"chrI",1,2177501,0.042357,29619991,14809995.5,29619991,14809996,2177501
"chrI",1,2207501,0.0158379,29619991,14809995.5,29619991,14809996,2207501
"chrI",1,2242501,0.0196799,29619991,14809995.5,29619991,14809996,2242501
"chrI",1,2272501,0.053193,29619991,14809995.5,29619991,14809996,2272501
"chrI",1,2302501,0.0807416,29619991,14809995.5,29619991,14809996,2302501
"chrI",1,2332501,0.0626084,29619991,14809995.5,29619991,14809996,2332501
"chrI",1,2362501,0.0882777,29619991,14809995.5,29619991,14809996,2362501
"chrI",1,2392501,0.0303477,29619991,14809995.5,29619991,14809996,2392501
"chrI",1,2422501,0.0679779,29619991,14809995.5,29619991,14809996,2422501
"chrI",1,2457501,0.0182212,29619991,14809995.5,29619991,14809996,2457501
"chrI",1,2487501,0.116648,29619991,14809995.5,29619991,14809996,2487501
"chrI",1,2517501,0.109043,29619991,14809995.5,29619991,14809996,2517501
"chrI",1,2547501,0.0344815,29619991,14809995.5,29619991,14809996,2547501
"chrI",1,2577501,0.0409907,29619991,14809995.5,29619991,14809996,2577501
"chrI",1,2607501,0.0195537,29619991,14809995.5,29619991,14809996,2607501
"chrI",1,2637501,0.024516,29619991,14809995.5,29619991,14809996,2637501
"chrI",1,2667501,0.0563536,29619991,14809995.5,29619991,14809996,2667501
"chrI",1,2697501,0.0143808,29619991,14809995.5,29619991,14809996,2697501
"chrI",1,2727501,0.0507918,29619991,14809995.5,29619991,14809996,2727501
"chrI",1,2757501,0.108283,29619991,14809995.5,29619991,14809996,2757501
"chrI",1,2787501,0.0405514,29619991,14809995.5,29619991,14809996,2787501
"chrI",1,2817501,0.0537747,29619991,14809995.5,29619991,14809996,2817501
"chrI",1,2847501,0.0182431,29619991,14809995.5,29619991,14809996,2847501
"chrI",1,2877501,0.0492879,29619991,14809995.5,29619991,14809996,2877501
"chrI",1,2907501,0.0379636,29619991,14809995.5,29619991,14809996,2907501
"chrI",1,2937501,0.0542312,29619991,14809995.5,29619991,14809996,2937501
"chrI",1,2967501,0.014647,29619991,14809995.5,29619991,14809996,2967501
"chrI",1,2997501,0.0626965,29619991,14809995.5,29619991,14809996,2997501
"chrI",1,3027501,0.0211652,29619991,14809995.5,29619991,14809996,3027501
"chrI",1,3057501,0.0617924,29619991,14809995.5,29619991,14809996,3057501
"chrI",1,3087501,0.0118444,29619991,14809995.5,29619991,14809996,3087501
"chrI",1,3117501,0.0792841,29619991,14809995.5,29619991,14809996,3117501
"chrI",1,3147501,0.0316674,29619991,14809995.5,29619991,14809996,3147501
"chrI",1,3177501,0.0730799,29619991,14809995.5,29619991,14809996,3177501
"chrI",1,3207501,0.0190685,29619991,14809995.5,29619991,14809996,3207501
"chrI",1,3237501,0.0498488,29619991,14809995.5,29619991,14809996,3237501
"chrI",1,3267501,0.0444893,29619991,14809995.5,29619991,14809996,3267501
"chrI",1,3297501,0.0483918,29619991,14809995.5,29619991,14809996,3297501
"chrI",1,3327501,0.0692728,29619991,14809995.5,29619991,14809996,3327501
"chrI",1,3362501,0.0420761,29619991,14809995.5,29619991,14809996,3362501
"chrI",1,3422501,0.0412528,29619991,14809995.5,29619991,14809996,3422501
"chrI",1,3467501,0.00294455,29619991,14809995.5,29619991,14809996,3467501
"chrI",1,3497501,0.0252164,29619991,14809995.5,29619991,14809996,3497501
"chrI",1,3527501,0.0571311,29619991,14809995.5,29619991,14809996,3527501
"chrI",1,3557501,0.0384688,29619991,14809995.5,29619991,14809996,3557501
